reader(2)  get:8   start:95.97659   end:96.80102 
reader(6)  get:8   start:96.34551   end:96.96276 
reader(7)  get:8   start:95.18236   end:97.13873 
reader(5)  get:8   start:96.43528   end:97.50243 
reader(4)  get:8   start:96.21281   end:97.56702 
reader(6)  get:8   start:97.62074   end:97.77594 
reader(3)  get:8   start:96.22149   end:97.93593 
reader(8)  get:8   start:96.60701   end:97.96019 
reader(1)  get:8   start:96.74985   end:98.79509 
reader(7)  get:8   start:98.02319   end:98.79640 
reader(5)  get:8   start:97.72866   end:98.91079 
reader(6)  get:8   start:98.76715   end:99.06026 
reader(2)  get:8   start:97.96020   end:99.06247 
reader(4)  get:8   start:98.22129   end:99.65455 
reader(6)  get:8   start:99.20041   end:99.87460 
reader(3)  get:8   start:98.82720   end:100.52848 
reader(7)  get:8   start:100.36772   end:100.62618 
reader(8)  get:8   start:99.66339   end:100.75166 
reader(6)  get:8   start:100.15077   end:100.86695 
reader(1)  get:8   start:100.70528   end:101.09947 
reader(8)  get:8   start:101.04989   end:101.23200 
reader(5)  get:8   start:100.45095   end:101.34411 
reader(2)  get:8   start:99.56482   end:101.66097 
reader(6)  get:8   start:100.93420   end:101.77033 
reader(3)  get:8   start:101.66861   end:102.03976 
reader(7)  get:8   start:102.03740   end:102.15944 
reader(1)  get:8   start:101.37760   end:102.74774 
reader(4)  get:8   start:101.46066   end:102.80076 
reader(5)  get:8   start:102.06549   end:103.04967 
reader(8)  get:8   start:102.02327   end:103.43735 
reader(5)  get:8   start:103.17387   end:103.88000 
reader(1)  get:8   start:103.22287   end:103.89997 
reader(3)  get:8   start:103.41890   end:104.37327 
reader(4)  get:8   start:103.38290   end:104.63420 
reader(6)  get:8   start:103.24052   end:104.82882 
reader(2)  get:8   start:103.64211   end:104.94637 
reader(8)  get:8   start:103.54051   end:104.94971 
reader(7)  get:8   start:103.78262   end:105.12677 
reader(5)  get:8   start:104.60030   end:105.48773 
reader(4)  get:8   start:104.86849   end:106.03457 
reader(5)  get:8   start:105.65095   end:106.06113 
reader(6)  get:8   start:106.01025   end:106.29551 
reader(2)  get:8   start:105.52850   end:106.47763 
reader(8)  get:8   start:106.40989   end:106.77033 
reader(1)  get:8   start:105.39933   end:106.87853 
reader(3)  get:8   start:105.47255   end:107.01276 
reader(5)  get:8   start:106.81349   end:107.33666 
reader(3)  get:8   start:107.54699   end:107.84235 
reader(4)  get:8   start:107.81967   end:108.50090 
reader(5)  get:8   start:107.65795   end:108.64112 
reader(7)  get:8   start:107.02001   end:108.69511 
reader(6)  get:8   start:107.66179   end:109.28801 
reader(2)  get:8   start:107.81179   end:109.35098 
reader(8)  get:8   start:107.81756   end:109.52075 
reader(4)  get:8   start:108.87336   end:109.70857 
reader(1)  get:8   start:108.78970   end:109.84385 
reader(5)  get:8   start:109.91747   end:110.09762 
reader(1)  get:8   start:109.88607   end:110.35424 
reader(3)  get:8   start:108.37962   end:110.42781 
reader(7)  get:8   start:109.70847   end:110.54783 
reader(5)  get:8   start:110.44878   end:110.87009 
reader(3)  get:8   start:110.76503   end:111.73746 
reader(6)  get:8   start:110.19318   end:112.02741 
reader(4)  get:8   start:110.33385   end:112.33207 
reader(8)  get:8   start:111.25292   end:112.42024 
reader(3)  get:8   start:112.29381   end:112.55019 
reader(7)  get:8   start:111.70049   end:112.57860 
reader(2)  get:8   start:111.24219   end:112.81670 
reader(6)  get:8   start:112.09071   end:113.32808 
reader(7)  get:8   start:113.03397   end:114.05147 
reader(1)  get:8   start:112.03938   end:114.07865 
reader(5)  get:8   start:112.76636   end:114.44348 
reader(8)  get:8   start:113.48645   end:115.04295 
reader(2)  get:8   start:114.54140   end:115.60453 
reader(3)  get:8   start:113.98248   end:115.62485 
reader(1)  get:8   start:115.13381   end:115.88098 
reader(6)  get:8   start:114.79566   end:116.09591 
reader(4)  get:8   start:114.21837   end:116.22865 
reader(5)  get:8   start:116.28779   end:116.67997 
reader(2)  get:8   start:116.69978   end:117.00904 
reader(8)  get:8   start:116.78441   end:117.11472 
reader(6)  get:8   start:116.92548   end:117.39072 
reader(3)  get:8   start:115.68613   end:117.58538 
reader(7)  get:8   start:115.81460   end:117.88205 
reader(3)  get:8   start:117.86372   end:118.05404 
reader(4)  get:8   start:116.81891   end:118.55520 
reader(7)  get:8   start:118.46724   end:118.61941 
reader(5)  get:8   start:117.62214   end:118.80048 
reader(2)  get:8   start:117.12424   end:119.02245 
reader(8)  get:8   start:117.81606   end:119.40335 
reader(6)  get:8   start:117.96079   end:119.56903 
reader(3)  get:8   start:118.75638   end:119.66558 
reader(1)  get:8   start:117.83815   end:119.68323 
reader(8)  get:8   start:119.67064   end:119.78686 
reader(1)  get:8   start:119.75552   end:120.08074 
reader(7)  get:8   start:120.28464   end:120.53288 
reader(3)  get:8   start:119.71895   end:120.81513 
reader(4)  get:8   start:119.46353   end:120.99070 
reader(5)  get:8   start:119.44870   end:121.21693 
reader(2)  get:8   start:119.33363   end:121.33786 
reader(1)  get:8   start:120.71207   end:122.14550 
reader(6)  get:8   start:121.35043   end:122.36271 
reader(8)  get:8   start:121.64731   end:122.41853 
reader(4)  get:8   start:121.09205   end:122.80331 
reader(7)  get:8   start:122.50818   end:123.19930 
reader(8)  get:8   start:123.30269   end:123.45504 
reader(2)  get:8   start:122.48318   end:123.62125 
reader(5)  get:8   start:121.79719   end:123.62863 
reader(3)  get:8   start:122.31844   end:123.79179 
reader(3)  get:8   start:123.97596   end:124.84328 
reader(6)  get:8   start:124.14613   end:124.87244 
reader(2)  get:8   start:123.75148   end:124.98867 
reader(7)  get:8   start:124.10556   end:125.38571 
reader(4)  get:8   start:123.89382   end:125.48995 
reader(1)  get:8   start:124.12287   end:125.50133 
reader(6)  get:8   start:125.03071   end:125.61627 
reader(3)  get:8   start:125.82664   end:126.17619 
reader(8)  get:8   start:124.81233   end:126.28052 
reader(5)  get:8   start:125.10794   end:127.02510 
reader(2)  get:8   start:125.68884   end:127.08305 
reader(3)  get:8   start:126.93248   end:127.31965 
reader(1)  get:8   start:126.46355   end:127.76179 
reader(8)  get:8   start:126.50371   end:127.86513 
reader(6)  get:8   start:126.39670   end:128.08584 
reader(4)  get:8   start:126.55618   end:128.39347 
reader(6)  get:8   start:128.12391   end:128.54416 
reader(8)  get:8   start:128.20240   end:128.96351 
reader(7)  get:8   start:127.25398   end:128.99816 
reader(2)  get:8   start:128.87230   end:129.11556 
reader(1)  get:8   start:129.03017   end:129.53042 
reader(4)  get:8   start:129.16879   end:129.53719 
reader(5)  get:8   start:128.75054   end:129.69570 
reader(8)  get:8   start:129.10174   end:129.82513 
reader(2)  get:8   start:129.49174   end:130.48705 
reader(3)  get:8   start:129.17484   end:130.52104 
reader(6)  get:8   start:129.70169   end:130.53394 
reader(7)  get:8   start:129.55833   end:130.80247 
reader(8)  get:8   start:130.38332   end:130.95269 
reader(4)  get:8   start:129.63337   end:131.09450 
reader(6)  get:8   start:130.79107   end:131.16541 
reader(5)  get:8   start:130.01586   end:131.25418 
reader(8)  get:8   start:131.26498   end:131.92224 
reader(7)  get:8   start:131.88471   end:132.23712 
reader(3)  get:8   start:131.38347   end:132.27178 
reader(1)  get:8   start:130.57872   end:132.28205 
reader(6)  get:8   start:131.32374   end:132.42702 
reader(3)  get:8   start:132.70402   end:132.86438 
reader(2)  get:8   start:130.88924   end:132.93044 
reader(4)  get:8   start:132.49675   end:132.98792 
reader(8)  get:8   start:133.48698   end:133.85420 
reader(5)  get:8   start:132.34232   end:133.89853 
reader(1)  get:8   start:133.77923   end:134.22642 
reader(8)  get:8   start:134.14752   end:134.79875 
reader(6)  get:8   start:133.66324   end:134.85766 
reader(7)  get:8   start:133.42549   end:135.17797 
reader(4)  get:8   start:133.96712   end:135.27642 
reader(3)  get:8   start:134.19680   end:135.39591 
reader(2)  get:8   start:134.46661   end:136.19978 
reader(5)  get:8   start:135.39567   end:136.20195 
reader(1)  get:8   start:135.70986   end:136.59507 
reader(6)  get:8   start:136.21097   end:136.68517 
reader(7)  get:8   start:135.77035   end:136.82846 
reader(4)  get:8   start:136.03173   end:137.01002 
reader(3)  get:8   start:136.71122   end:137.13378 
reader(8)  get:8   start:135.39506   end:137.49331 
reader(1)  get:8   start:137.13831   end:138.40464 
reader(7)  get:8   start:136.98866   end:138.60382 
reader(6)  get:8   start:137.31047   end:139.09382 
reader(5)  get:8   start:137.59250   end:139.20645 
reader(3)  get:8   start:138.27370   end:139.66088 
reader(2)  get:8   start:137.73004   end:139.80641 
reader(7)  get:8   start:138.68714   end:140.10637 
reader(5)  get:8   start:139.87761   end:140.14301 
reader(4)  get:8   start:138.86828   end:140.24255 
reader(6)  get:8   start:139.63324   end:140.58459 
reader(1)  get:8   start:138.68418   end:140.72756 
